Issue Date,Syndicate Desk,Syndicate Region,Country,Issuer,ISIN,Issuer Category,Sector,Currency,Size (EUR m),Tenor,Seniority,Coupon,IPTs,Spread at Launch (bps),Guidance,Price Tightening,Books Guide,Books Launch,Books Final,Oversubscription,New Issue Premium (bps),BNP Role,BNP Active,Sustainable
2022-02-25,New York,Americas,USA,Industrial Innovations,USZD22HWFZP4,Corporate,Industrial,CAD,501.56,3,Junior Subordinated,Fixed,2.14,138.13,2.01,0.13,652.03,978.04,1108.45,3.81,11.42,Passive Bookrunner,True,False
2025-02-15,Hong Kong,Asia-Pacific,Singapore,Pharma Innovations,SGG1ZAYZBIW7,Corporate,Healthcare,HKD,510.89,1,Senior Unsecured,Floating,5.28,100.27,5.12,0.16,664.16,996.24,1129.07,4.16,17.26,Active Bookrunner,True,True
2022-07-01,New York,Americas,Brazil,Government of Brazil,BRLEEHJST340,SSA,Sovereign,USD,1398.7,10,Senior Unsecured,Floating,5.89,43.75,5.79,0.1,2517.66,5538.85,6294.15,4.52,33.17,Co-Manager,True,False
2023-04-08,New York,Americas,Canada,Pharma Systems,CACARW05BRR3,Corporate,Healthcare,USD,440.75,10,Senior Secured,Zero-Coupon,2.14,228.52,2.01,0.13,572.98,859.47,974.07,3.85,23.49,Passive Bookrunner,True,False
2025-02-19,New York,Americas,USA,Morgan Banking Corp,USURJKV8PLQ6,FIG,Asset Management,MXN,344.01,5,Senior Non-Preferred,Fixed,6.57,120.25,6.46,0.11,516.01,928.82,1032.02,3.37,46.78,Passive Bookrunner,False,False
2025-02-21,London,EMEA,Switzerland,Metropolitan Financial,CHTNVFT4N474,FIG,Insurance,USD,284.08,1,Senior Preferred,Fixed,4.5,87.14,4.4,0.1,426.12,767.02,852.24,4.58,42.71,Active Bookrunner,True,False
2025-02-20,London,EMEA,France,CADES,FRXNGA4K8135,SSA,Sovereign,EUR,257.64,3,Senior Unsecured,Fixed,7.19,23.1,7.19,0.0,463.75,1020.25,1159.38,1.11,35.56,Passive Bookrunner,True,False
2021-04-10,London,EMEA,Switzerland,Metropolitan Holdings,CH5G0CQIIW47,FIG,Banks,EUR,292.32,5,Senior Non-Preferred,Fixed,6.17,143.81,6.07,0.1,438.48,789.26,876.96,4.4,17.37,Co-Manager,False,False
2025-02-23,Hong Kong,Asia-Pacific,China,Engineering Solutions,CNCUJ2OOQ6K0,Corporate,Healthcare,HKD,507.02,5,Senior Secured,Fixed,2.58,212.39,2.55,0.03,659.13,988.69,1120.52,1.76,28.77,None,True,False
2024-08-23,New York,Americas,USA,Brands Corporation,USQW7L9BI5O2,Corporate,Technology,USD,175.72,10,Senior Unsecured,Fixed,7.3,88.37,7.23,0.07,228.44,342.66,388.35,2.8,33.55,Passive,True,False
2023-06-08,Hong Kong,Asia-Pacific,Hong Kong,Brands Innovations,HKM184H7TT21,Corporate,Industrial,USD,255.28,1,Senior Secured,Fixed,2.53,80.72,2.48,0.05,331.86,497.79,564.16,2.73,35.93,Passive Bookrunner,False,False
2020-05-19,London,EMEA,Germany,Retail Innovations,DE5KB94B49R7,Corporate,Utilities,EUR,445.74,5,Senior Unsecured,Fixed,5.66,188.68,5.52,0.14,579.46,869.19,985.08,4.53,21.44,Passive Bookrunner,True,False
2021-09-12,Hong Kong,Asia-Pacific,China,Tech Solutions,CN2PCMT23NK2,Corporate,Industrial,CNY,360.47,7,Senior Secured,Fixed,4.95,113.51,4.86,0.09,468.61,702.91,796.64,2.95,39.41,Active Bookrunner,True,False
2023-01-23,New York,Americas,Canada,Cyber Corporation,CARHJKILIK70,Corporate,Technology,EUR,490.42,7,Senior Secured,Fixed,5.27,177.39,5.18,0.09,637.55,956.32,1083.83,3.37,24.2,Co-Manager,True,True
2023-09-03,New York,Americas,USA,Citi Holdings,USQTK4ZJ17G9,FIG,Insurance,USD,138.75,10,Tier 2,Floating,5.65,131.52,5.59,0.06,208.12,374.62,416.24,3.45,21.07,Passive Bookrunner,True,False
2020-02-29,London,EMEA,Germany,Land NRW,DE1J0PTUFUH0,SSA,Sovereign,CHF,1232.62,3,Secured,Fixed,3.15,31.47,3.05,0.1,2218.72,4881.18,5546.8,3.72,29.39,Passive,False,False
2021-06-15,London,EMEA,Switzerland,Continental Financial,CHO4IAR33FZ9,FIG,Insurance,GBP,143.94,10,Tier 2,Fixed,6.1,140.91,6.0,0.1,215.91,388.64,431.82,3.68,23.63,Co-Manager,True,True
2020-05-17,Hong Kong,Asia-Pacific,Japan,MUFG Banking Corp,JPFLYZ0Y3MM2,FIG,Asset Management,USD,158.12,10,Senior Preferred,Fixed,2.92,62.27,2.9,0.02,237.18,426.92,474.36,1.57,13.35,Passive Bookrunner,False,False
2023-07-17,London,EMEA,Netherlands,Cloud Corporation,NLJ1BWH0E923,Corporate,Consumer,EUR,477.14,30,Senior Unsecured,Fixed,6.01,123.51,5.86,0.15,620.28,930.42,1054.48,4.48,39.85,Passive,True,False
2023-10-19,London,EMEA,United Arab Emirates,Global Systems,AEXBZV5TUWP1,Corporate,Oil & Gas,EUR,129.58,10,Senior Unsecured,Zero-Coupon,2.68,200.51,2.57,0.11,168.45,252.67,286.36,3.61,49.4,Passive Bookrunner,True,False
2023-08-15,New York,Americas,USA,Brands Solutions,USJK6BTS4OE5,Corporate,Technology,EUR,145.79,10,Senior Secured,Fixed,7.63,146.72,7.57,0.06,189.53,284.3,322.2,2.12,34.71,Passive Bookrunner,True,False
2025-02-16,London,EMEA,United Arab Emirates,Continental Banking Corp,AE46ENXDBNB1,FIG,Asset Management,USD,213.65,7,Tier 2,Fixed,2.85,149.78,2.77,0.08,320.48,576.86,640.96,3.47,14.31,Co-Manager,False,False
2025-02-27,London,EMEA,Switzerland,Cloud Solutions,CHLUKV7RDCP1,Corporate,Healthcare,EUR,86.9,20,Junior Subordinated,Floating,6.26,172.79,6.23,0.03,112.97,169.45,192.05,1.99,20.4,Passive,True,True
2021-02-05,New York,Americas,Canada,Metropolitan Banking Corp,CARQXKHGZHH2,FIG,Financial Services,EUR,245.48,5,Additional Tier 1,Zero-Coupon,7.22,131.5,7.15,0.07,368.22,662.8,736.44,3.01,33.51,Passive Bookrunner,False,False
2023-08-05,New York,Americas,Chile,Consumer Solutions,XXL6H6OU9SB2,Corporate,Industrial,EUR,363.73,30,Senior Unsecured,Fixed,5.78,244.67,5.69,0.09,472.85,709.28,803.85,4.29,34.61,None,True,False
2025-02-17,Hong Kong,Asia-Pacific,Hong Kong,Consumer Systems,HKPTIK8SP1X3,Corporate,Consumer,CNY,456.28,10,Senior Unsecured,Fixed,4.75,225.08,4.67,0.08,593.16,889.74,1008.37,4.6,15.97,Co-Manager,True,False
2020-08-15,London,EMEA,France,Brands Systems,FRSM4B7MQZN5,Corporate,Consumer,EUR,512.49,10,Senior Unsecured,Floating,2.72,181.3,2.7,0.02,666.24,999.36,1132.61,1.46,33.53,None,False,False
2023-01-06,New York,Americas,Brazil,Consumer Systems,BR7283CYWO53,Corporate,Healthcare,USD,375.76,3,Senior Secured,Floating,4.64,112.79,4.64,0.0,488.49,732.74,830.43,1.11,47.06,Active Bookrunner,False,True
2024-04-04,Hong Kong,Asia-Pacific,Singapore,Engineering Systems,SGPJBLTCQRW6,Corporate,Industrial,USD,278.95,10,Senior Unsecured,Fixed,3.72,132.32,3.61,0.11,362.63,543.94,616.47,4.5,19.45,None,True,True
2024-10-04,Hong Kong,Asia-Pacific,Hong Kong,Metropolitan Holdings,HK2RWV6YZB86,FIG,Banks,CNY,281.45,10,Senior Preferred,Fixed,5.56,119.25,5.4,0.16,422.17,759.91,844.34,4.79,15.59,None,False,False
2020-05-10,London,EMEA,Switzerland,Global Banking Corp,CH8YVN01YLO7,FIG,Financial Services,EUR,130.79,3,Senior Non-Preferred,Fixed,5.57,77.68,5.49,0.08,196.19,353.14,392.38,3.78,29.51,Passive Bookrunner,False,False
2020-07-04,London,EMEA,UK,Global Systems,GBI6T0T9EYO8,Corporate,Industrial,CHF,259.1,5,Junior Subordinated,Fixed,5.26,97.16,5.2,0.06,336.83,505.25,572.61,3.26,10.75,Passive,True,True
2022-03-12,Hong Kong,Asia-Pacific,Hong Kong,Metropolitan Group,HKCN372GPL94,FIG,Asset Management,USD,115.08,5,Additional Tier 1,Floating,3.78,141.45,3.7,0.08,172.62,310.72,345.24,2.71,18.72,None,False,False
2022-03-01,New York,Americas,USA,Manufacturing Systems,US85FDB4B7D6,Corporate,Consumer,USD,74.83,10,Senior Secured,Fixed,3.19,192.87,3.02,0.17,97.28,145.92,165.38,4.74,37.94,Documentation Agent,True,True
2021-02-19,Hong Kong,Asia-Pacific,China,Government of China,CNKGENUSEF90,SSA,Sovereign,CNY,1084.15,10,Senior Unsecured,Floating,6.14,31.26,6.1,0.04,1951.47,4293.23,4878.68,2.55,33.01,Co-Manager,False,True
2023-01-29,London,EMEA,United Arab Emirates,Global Systems,AE2TE4KUFLZ1,Corporate,Oil & Gas,EUR,380.18,7,Senior Unsecured,Fixed,6.36,192.34,6.36,0.0,494.23,741.35,840.19,1.03,40.1,Global Coordinator,True,False
2022-11-07,New York,Americas,Mexico,Continental Group,MXVO0C182XH4,FIG,Banks,USD,261.11,3,Senior Preferred,Fixed,3.0,91.76,2.94,0.06,391.67,705.01,783.34,3.43,48.62,None,False,False
2021-09-16,New York,Americas,USA,Pharma Solutions,USUCJ862G7G9,Corporate,Consumer,USD,505.11,10,Senior Secured,Fixed,7.65,170.64,7.62,0.03,656.64,984.96,1116.29,1.76,33.05,None,True,False
2020-03-12,Hong Kong,Asia-Pacific,Singapore,Manufacturing Solutions,SGBV3GIW4KV5,Corporate,Technology,CNY,546.1,3,Senior Unsecured,Zero-Coupon,3.49,95.26,3.41,0.08,709.93,1064.89,1206.88,4.05,32.9,Co-Manager,True,False
2020-10-14,London,EMEA,UK,Manufacturing Innovations,GBSVBDOCZJJ0,Corporate,Utilities,EUR,461.14,10,Senior Unsecured,Fixed,7.58,129.53,7.55,0.03,599.48,899.22,1019.12,1.84,33.78,Active Bookrunner,True,False
2023-07-19,Hong Kong,Asia-Pacific,Singapore,Health Corporation,SGB5UXV60J58,Corporate,Industrial,CNY,593.18,7,Senior Unsecured,Zero-Coupon,2.28,177.25,2.2,0.08,771.13,1156.69,1310.92,2.57,12.22,Passive Bookrunner,True,False
2023-11-26,Hong Kong,Asia-Pacific,Hong Kong,Pharma Innovations,HK8ZQU4EQRU1,Corporate,Technology,USD,215.91,5,Senior Subordinated,Zero-Coupon,7.66,132.92,7.54,0.12,280.68,421.02,477.16,3.43,18.49,Passive Bookrunner,True,False
2023-06-24,Hong Kong,Asia-Pacific,Singapore,Consumer Systems,SG1ALW1Q5DL1,Corporate,Healthcare,JPY,466.43,5,Senior Unsecured,Fixed,2.17,178.31,2.09,0.08,606.36,909.54,1030.81,4.27,41.75,None,False,False
2024-02-05,New York,Americas,USA,Freddie Mac,USS4EQC301U6,SSA,Sovereign,EUR,1728.07,10,Secured,Fixed,3.73,14.38,3.67,0.06,3110.53,6843.17,7776.33,2.64,25.78,None,False,True
2024-08-25,New York,Americas,USA,Citi Banking Corp,USQ3CUWTUZQ6,FIG,Financial Services,USD,113.87,5,Tier 2,Fixed,3.96,130.59,3.92,0.04,170.81,307.46,341.62,2.12,46.12,None,True,True
2023-08-05,London,EMEA,Netherlands,Continental Holdings,NLC7XM3I5WL3,FIG,Financial Services,EUR,128.01,10,Senior Preferred,Fixed,5.5,79.09,5.44,0.06,192.01,345.62,384.02,3.65,8.67,Documentation Agent,True,False
2025-01-26,London,EMEA,UK,NatWest Financial,GBW96NWH5KG2,FIG,Financial Services,EUR,315.78,3,Additional Tier 1,Floating,5.19,87.12,5.13,0.06,473.67,852.61,947.34,2.81,27.8,Passive Bookrunner,True,False
2024-08-14,Hong Kong,Asia-Pacific,Hong Kong,Government of Hong Kong,HKPFJL7L9VK7,SSA,Sovereign,USD,718.52,5,Senior Unsecured,Fixed,6.84,24.9,6.8,0.04,1293.34,2845.35,3233.35,2.19,5.14,None,False,False
2023-03-13,Hong Kong,Asia-Pacific,Singapore,Health Innovations,SG5YRAND90A8,Corporate,Industrial,CNY,229.18,10,Senior Unsecured,Fixed,7.39,185.39,7.23,0.16,297.93,446.89,506.48,4.98,20.29,Co-Manager,True,False
2022-07-31,Hong Kong,Asia-Pacific,China,Digital Corporation,CNAUZIRMXW18,Corporate,Healthcare,USD,152.55,10,Senior Unsecured,Fixed,3.69,208.43,3.69,0.0,198.32,297.48,337.14,1.13,39.23,None,True,True
2025-02-24,London,EMEA,Netherlands,Continental Group,NLNPKQW4L8D8,FIG,Financial Services,GBP,148.58,10,Senior Preferred,Floating,7.18,64.57,7.15,0.03,222.87,401.17,445.74,2.09,27.34,Passive,True,False
2022-08-28,New York,Americas,USA,Citi Banking Corp,US2ODHJAQC74,FIG,Financial Services,USD,333.95,5,Senior Preferred,Fixed,3.47,150.67,3.41,0.06,500.92,901.66,1001.84,2.2,22.26,Documentation Agent,True,False
2021-08-19,New York,Americas,Mexico,Retail Corporation,MX2EPPHCDC99,Corporate,Technology,USD,285.92,5,Senior Unsecured,Fixed,4.28,166.99,4.18,0.1,371.7,557.55,631.89,3.09,38.19,Co-Manager,False,False
2025-02-23,Hong Kong,Asia-Pacific,Singapore,Manufacturing Systems,SGPA3GG11VU0,Corporate,Healthcare,CNY,276.95,5,Senior Unsecured,Zero-Coupon,3.33,155.11,3.31,0.02,360.04,540.06,612.07,1.93,29.2,Documentation Agent,False,True
2022-07-04,Hong Kong,Asia-Pacific,China,Health Systems,CN33MOEKBWN9,Corporate,Industrial,CNY,218.63,10,Senior Secured,Floating,6.05,103.18,6.04,0.01,284.22,426.33,483.17,1.28,23.24,None,True,False
2025-02-07,Hong Kong,Asia-Pacific,Japan,Government of Japan,JP1KO5SB2TU6,SSA,Sovereign,JPY,1373.97,10,Senior Unsecured,Fixed,5.8,20.07,5.72,0.08,2473.15,5440.93,6182.88,3.85,37.71,Passive,True,True
2024-07-25,Hong Kong,Asia-Pacific,Singapore,Digital Systems,SG5UEKAX6H16,Corporate,Healthcare,USD,233.39,10,Senior Unsecured,Floating,4.68,211.79,4.5,0.18,303.41,455.12,515.8,4.77,13.18,Passive Bookrunner,True,True
2020-12-17,London,EMEA,Germany,L-Bank,DEIEZVEVEY28,SSA,Sovereign,GBP,1490.27,7,Senior Unsecured,Floating,7.04,50.0,6.93,0.11,2682.49,5901.48,6706.22,3.46,11.56,None,True,False
2021-09-17,New York,Americas,Chile,Government of Chile,XXQP06YY3QT5,SSA,Sovereign,USD,531.61,3,Secured,Fixed,6.24,20.33,6.22,0.02,956.9,2105.18,2392.25,1.6,33.56,None,False,False
2020-03-30,Hong Kong,Asia-Pacific,South Korea,Metropolitan Financial,KR43OR6Y40G1,FIG,Banks,USD,156.23,10,Senior Preferred,Fixed,6.27,159.31,6.19,0.08,234.34,421.81,468.68,3.6,14.18,Co-Manager,True,False
2024-02-01,London,EMEA,Germany,Global Systems,DEEP9IJ3ERR2,Corporate,Utilities,USD,240.27,5,Senior Unsecured,Floating,5.3,177.32,5.2,0.1,312.35,468.53,531.0,4.85,7.76,Documentation Agent,False,False
2022-09-08,Hong Kong,Asia-Pacific,China,Cyber Corporation,CNYKLG20RF00,Corporate,Industrial,CNY,343.42,5,Senior Unsecured,Fixed,2.45,86.62,2.44,0.01,446.45,669.67,758.96,1.43,18.68,Co-Manager,True,False
2025-02-19,Hong Kong,Asia-Pacific,China,Tech Corporation,CNDLK0UMF7M1,Corporate,Technology,HKD,65.01,3,Senior Secured,Fixed,3.32,108.26,3.26,0.06,84.51,126.77,143.67,3.75,42.08,Passive Bookrunner,True,True
2023-01-18,New York,Americas,Canada,Manufacturing Corporation,CANO2PG14PP9,Corporate,Industrial,USD,606.63,5,Senior Unsecured,Fixed,3.03,215.99,2.93,0.1,788.62,1182.93,1340.65,4.19,12.51,Co-Manager,True,False
2024-04-19,Hong Kong,Asia-Pacific,South Korea,Global Banking Corp,KRKQ4KHQNNG9,FIG,Insurance,CNY,223.4,10,Senior Preferred,Floating,6.32,59.62,6.29,0.03,335.1,603.18,670.2,2.03,26.19,Passive,True,False
2020-07-30,New York,Americas,USA,Bio Systems,US9K72IVJZ57,Corporate,Consumer,CAD,311.26,7,Senior Unsecured,Fixed,2.13,192.32,2.05,0.08,404.64,606.96,687.89,2.93,30.01,None,True,False
2020-05-06,New York,Americas,Canada,Pharma Systems,CA0AGOUDDIX7,Corporate,Healthcare,CAD,114.72,5,Senior Unsecured,Fixed,6.98,143.03,6.88,0.1,149.14,223.71,253.54,4.4,47.88,None,False,True
2023-01-17,New York,Americas,Canada,Tech Corporation,CAVCCL07OMP9,Corporate,Technology,USD,563.79,5,Senior Unsecured,Fixed,7.11,149.11,7.07,0.04,732.93,1099.39,1245.98,2.83,43.84,Co-Manager,False,False
2022-05-03,London,EMEA,France,CADES,FRQ4F4QMU1U1,SSA,Sovereign,USD,1051.71,7,Senior Unsecured,Fixed,6.96,26.62,6.87,0.09,1893.08,4164.78,4732.7,2.87,12.01,Co-Manager,True,True
2020-12-18,London,EMEA,Germany,Global Systems,DE7JOATR9ZS3,Corporate,Consumer,EUR,469.41,5,Senior Unsecured,Fixed,2.6,144.42,2.5,0.1,610.23,915.35,1037.39,3.33,27.05,Passive Bookrunner,True,True
2021-03-06,New York,Americas,USA,Fannie Mae,US73N6885BB0,SSA,Sovereign,EUR,1789.87,10,Senior Unsecured,Floating,7.8,26.65,7.79,0.01,3221.77,7087.89,8054.43,1.69,22.06,Co-Manager,True,True
2022-09-05,Hong Kong,Asia-Pacific,China,Industrial Systems,CN5USSC0KXI6,Corporate,Consumer,CNY,393.83,7,Senior Unsecured,Fixed,3.94,98.44,3.85,0.09,511.98,767.97,870.37,4.19,5.12,Passive,True,False
2022-12-22,New York,Americas,Canada,Brands Corporation,CA72LXNF1JW2,Corporate,Industrial,USD,376.95,5,Senior Unsecured,Floating,6.11,194.65,6.07,0.04,490.04,735.06,833.07,2.3,19.62,Global Coordinator,True,True
2021-01-31,Hong Kong,Asia-Pacific,China,Tech Innovations,CNX8MOCU3TZ3,Corporate,Healthcare,HKD,242.93,5,Senior Secured,Fixed,6.95,177.56,6.82,0.13,315.81,473.72,536.88,4.76,41.03,Active Bookrunner,False,False
2022-02-23,New York,Americas,Chile,Consumer Solutions,XXCDC5E8AKM2,Corporate,Healthcare,USD,72.66,10,Senior Unsecured,Fixed,6.6,108.88,6.47,0.13,94.46,141.69,160.58,4.64,43.8,Passive,False,True
2020-04-04,Hong Kong,Asia-Pacific,Singapore,Global Group,SGDBT1M4XKH3,FIG,Financial Services,CNY,245.17,20,Tier 2,Fixed,5.57,182.08,5.52,0.05,367.75,661.95,735.5,2.51,25.63,Active Bookrunner,True,False
2022-02-11,London,EMEA,Switzerland,Pharma Corporation,CHMVMAFZ5986,Corporate,Industrial,GBP,226.87,20,Senior Unsecured,Fixed,7.71,167.52,7.64,0.07,294.93,442.39,501.38,3.5,16.45,Co-Manager,True,False
2022-04-27,Hong Kong,Asia-Pacific,Hong Kong,Health Systems,HKG0450PEPU5,Corporate,Industrial,USD,456.79,5,Senior Unsecured,Fixed,2.96,131.37,2.88,0.08,593.83,890.75,1009.51,3.82,7.89,Passive Bookrunner,False,True
2020-02-08,New York,Americas,USA,JP Group,USW5CVRUBIP7,FIG,Banks,EUR,273.41,3,Senior Non-Preferred,Fixed,5.86,53.45,5.73,0.13,410.12,738.22,820.24,4.04,23.15,Passive Bookrunner,True,True
2024-07-16,London,EMEA,Germany,Continental Group,DE4FVXX4VDU8,FIG,Banks,USD,149.34,7,Senior Preferred,Zero-Coupon,3.48,87.42,3.41,0.07,224.01,403.22,448.02,4.06,22.75,Passive,True,False
2024-09-13,Hong Kong,Asia-Pacific,Japan,Mizuho Group,JPN0Z650SO06,FIG,Asset Management,USD,324.16,10,Senior Preferred,Fixed,7.1,172.39,7.01,0.09,486.24,875.23,972.48,4.33,37.53,Co-Manager,True,False
2020-04-11,Hong Kong,Asia-Pacific,Japan,Manufacturing Innovations,JP7QTVU77JL0,Corporate,Consumer,USD,362.99,7,Senior Unsecured,Fixed,7.86,99.55,7.85,0.01,471.89,707.84,802.21,1.39,41.15,None,True,False
2023-07-03,Hong Kong,Asia-Pacific,Hong Kong,Bio Solutions,HKV4FRZVE544,Corporate,Industrial,CNY,92.07,5,Senior Unsecured,Fixed,3.44,185.85,3.36,0.08,119.69,179.53,203.47,4.48,13.9,Co-Manager,True,False
2023-01-21,Hong Kong,Asia-Pacific,South Korea,Government of South Korea,KR45RUW3JDY0,SSA,Sovereign,HKD,692.99,10,Senior Unsecured,Floating,3.3,41.07,3.3,0.0,1247.38,2744.24,3118.45,1.06,31.05,Co-Manager,True,True
2021-11-01,Hong Kong,Asia-Pacific,China,ICBC Group,CN1QY9T13N60,FIG,Asset Management,CNY,197.39,7,Senior Preferred,Fixed,5.03,96.35,4.98,0.05,296.08,532.94,592.16,3.25,27.24,Documentation Agent,True,False
2022-07-19,London,EMEA,France,UNEDIC,FRPKJAMD7PG8,SSA,Sovereign,USD,775.95,3,Senior Unsecured,Fixed,5.66,17.89,5.66,0.0,1396.71,3072.76,3491.78,1.12,45.08,Passive Bookrunner,False,True
2025-01-25,London,EMEA,Netherlands,Engineering Corporation,NLRYSDCAP0V7,Corporate,Technology,GBP,117.42,10,Senior Subordinated,Fixed,2.5,160.16,2.49,0.01,152.65,228.98,259.5,1.32,49.83,Passive,True,True
2024-08-05,London,EMEA,Germany,Metropolitan Banking Corp,DENK26X3CFH2,FIG,Insurance,USD,185.66,30,Tier 2,Fixed,2.44,189.86,2.3,0.14,278.49,501.28,556.98,4.58,29.07,Passive Bookrunner,True,False
2022-07-15,London,EMEA,Netherlands,Continental Group,NLRSQNXER7O6,FIG,Asset Management,GBP,254.98,5,Senior Preferred,Zero-Coupon,6.71,116.48,6.66,0.05,382.47,688.45,764.94,2.13,30.45,Active Bookrunner,True,False
2020-10-17,New York,Americas,USA,Cyber Solutions,USZ57JXV7PC8,Corporate,Healthcare,USD,256.74,20,Senior Secured,Floating,3.14,123.88,3.13,0.01,333.76,500.64,567.39,1.38,41.72,Active Bookrunner,True,True
2021-09-05,London,EMEA,France,Metropolitan Group,FRZRGAWZ8940,FIG,Insurance,EUR,344.25,10,Senior Preferred,Fixed,4.85,129.7,4.83,0.02,516.38,929.48,1032.76,1.45,28.25,Passive Bookrunner,True,False
2022-07-06,Hong Kong,Asia-Pacific,China,Bank of China Banking Corp,CNQLD3AREGZ6,FIG,Financial Services,USD,361.84,3,Senior Preferred,Fixed,3.82,127.83,3.75,0.07,542.76,976.97,1085.52,3.2,14.41,Co-Manager,False,False
2021-07-14,Hong Kong,Asia-Pacific,Hong Kong,Digital Innovations,HKJR964TABQ8,Corporate,Healthcare,JPY,66.71,5,Junior Subordinated,Fixed,4.5,157.97,4.48,0.02,86.72,130.08,147.42,1.48,46.18,None,False,False
2024-06-01,London,EMEA,UK,Manufacturing Innovations,GBJXD46BI3N4,Corporate,Industrial,EUR,212.06,10,Senior Unsecured,Fixed,2.14,102.37,2.09,0.05,275.68,413.52,468.66,2.19,23.56,Active Bookrunner,True,False
2023-12-20,Hong Kong,Asia-Pacific,Singapore,Continental Banking Corp,SGGWJSHKIAL4,FIG,Asset Management,CNY,189.87,3,Senior Non-Preferred,Fixed,4.84,141.33,4.8,0.04,284.81,512.66,569.62,2.44,35.32,Global Coordinator,True,True
2022-08-06,London,EMEA,Germany,Global Solutions,DEX5BL0LB2T8,Corporate,Industrial,CHF,502.55,3,Senior Unsecured,Floating,2.66,114.34,2.56,0.1,653.32,979.98,1110.64,3.61,40.17,Co-Manager,True,True
2020-02-16,Hong Kong,Asia-Pacific,Japan,Consumer Corporation,JPKMWRALCJU9,Corporate,Industrial,HKD,237.51,5,Senior Unsecured,Floating,5.4,137.71,5.32,0.08,308.76,463.14,524.89,2.97,35.93,Passive,True,False
2022-07-27,New York,Americas,USA,Manufacturing Systems,USI177EDW3T9,Corporate,Technology,USD,119.27,3,Senior Unsecured,Fixed,7.49,188.78,7.39,0.1,155.05,232.58,263.59,4.47,24.05,None,False,True
2025-01-12,New York,Americas,USA,Health Innovations,USHZYGJVBZW1,Corporate,Consumer,EUR,168.24,3,Senior Secured,Fixed,5.61,142.37,5.61,0.0,218.71,328.06,371.81,1.01,9.9,Global Coordinator,True,False
2025-01-27,London,EMEA,UK,Transport for London,GBCGF0AXS9J3,SSA,Sovereign,USD,1015.85,5,Senior Unsecured,Floating,2.4,18.08,2.35,0.05,1828.53,4022.77,4571.32,2.51,40.81,Active Bookrunner,False,False
2024-03-06,London,EMEA,UK,Manufacturing Innovations,GBX1EXQZ24M1,Corporate,Consumer,GBP,566.57,7,Senior Unsecured,Fixed,7.02,174.63,6.98,0.04,736.54,1104.81,1252.12,2.81,30.81,Passive Bookrunner,True,False
2025-02-03,London,EMEA,UK,Global Corporation,GBY9VKKMNND0,Corporate,Industrial,USD,321.82,10,Senior Unsecured,Fixed,6.69,200.93,6.64,0.05,418.37,627.56,711.23,3.2,49.77,Co-Manager,True,False
2022-01-23,Hong Kong,Asia-Pacific,Singapore,Government of Singapore,SGW0USG46CH3,SSA,Sovereign,CNY,1340.57,5,Senior Unsecured,Floating,4.06,24.42,3.91,0.15,2413.03,5308.67,6032.58,4.21,49.8,Passive Bookrunner,False,False
2020-10-24,London,EMEA,Germany,Consumer Innovations,DE2MM93I9C63,Corporate,Consumer,USD,275.0,5,Senior Unsecured,Fixed,4.5,212.46,4.45,0.05,357.5,536.25,607.75,2.53,13.44,None,True,False
2024-12-29,New York,Americas,Brazil,Consumer Corporation,BRWTGHZG4OK3,Corporate,Industrial,MXN,425.59,10,Senior Unsecured,Fixed,6.85,226.88,6.75,0.1,553.27,829.9,940.56,3.5,38.69,None,True,False
2023-03-17,Hong Kong,Asia-Pacific,China,ICBC Holdings,CNGN8RYCMOH8,FIG,Financial Services,CNY,186.62,10,Senior Preferred,Fixed,6.55,166.23,6.5,0.05,279.93,503.87,559.86,2.92,9.39,Co-Manager,True,False
2022-10-31,London,EMEA,UK,Global Innovations,GBXRT43ZBSY0,Corporate,Industrial,EUR,473.44,5,Senior Unsecured,Fixed,7.76,178.61,7.7,0.06,615.47,923.21,1046.3,2.49,25.05,Global Coordinator,True,False
2022-08-25,Hong Kong,Asia-Pacific,China,Digital Corporation,CNFGUOQG0SR2,Corporate,Healthcare,CNY,238.44,1,Senior Unsecured,Zero-Coupon,2.7,94.18,2.69,0.01,309.97,464.96,526.95,1.33,30.12,Co-Manager,False,False
2025-01-08,Hong Kong,Asia-Pacific,South Korea,Metropolitan Financial,KR1N5FPIN3O2,FIG,Insurance,CNY,317.49,10,Additional Tier 1,Fixed,4.77,137.09,4.65,0.12,476.24,857.23,952.48,4.51,9.85,Global Coordinator,True,True
2025-02-11,London,EMEA,France,Metropolitan Group,FRMQUBVMLY34,FIG,Banks,EUR,186.84,5,Senior Non-Preferred,Fixed,5.53,111.95,5.5,0.03,280.26,504.47,560.52,1.6,5.11,None,False,False
2021-06-20,Hong Kong,Asia-Pacific,Japan,Nomura Banking Corp,JP2BF2NANGL7,FIG,Financial Services,USD,136.44,5,Additional Tier 1,Fixed,5.42,127.04,5.4,0.02,204.66,368.39,409.32,1.44,18.79,Global Coordinator,True,False
2022-01-23,New York,Americas,USA,Federal Home Loan Bank,USEJ6HAK0A13,SSA,Sovereign,USD,492.78,30,Senior Unsecured,Fixed,6.33,63.3,6.29,0.04,887.0,1951.4,2217.5,2.24,41.32,Global Coordinator,True,False
2021-08-01,New York,Americas,Canada,Global Group,CAYEY6F4K8B7,FIG,Banks,EUR,277.65,10,Senior Preferred,Floating,3.43,113.78,3.43,0.0,416.47,749.65,832.94,1.15,25.67,Co-Manager,True,False
